lichess,chess.com
1140,705
1215,805
1330,920
1430,1025
1525,1120
1600,1220
1680,1315
1705,1360
1750,1400
1790,1440
1810,1490
1845,1530
1875,1575
1910,1610
1930,1645
1960,1695
1990,1730
2015,1775
2030,1805
2070,1845
2100,1885
2135,1930
2160,1960
2175,2005
2205,2020
2260,2085
2310,2140
2370,2205
2415,2250
2485,2305
2535,2370
2580,2435
2650,2495
2735,2590
2785,2675
