lichess,chess.com
895,435
925,530
1005,625
1060,725
1145,825
1235,920
1335,1020
1385,1070
1440,1115
1490,1165
1530,1210
1585,1265
1630,1310
1670,1365
1705,1405
1755,1465
1790,1515
1830,1580
1880,1625
1925,1685
1970,1740
2015,1800
2055,1840
2100,1905
2130,1950
2215,2055
2305,2165
2390,2280
2450,2370
2560,2480
2665,2585
2735,2690
2825,2805
2985,2905
3080,3010
